object,url,price
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
face wash,https://www.amazon.com/s?k=face wash,10
face wash,https://www.flipkart.com/search?q=face wash,10
